1,2,3,4,5,6,7,8,9,10
0.287,5.9148,150.57,41.153,26565,4.0702,0.027032,26565,0.0408,144.21
0.288,5.9561,150.56,41.297,26565,4.0988,0.027223,26565,0.0408,144.21
0.289,5.9976,150.56,41.442,26565,4.1275,0.027414,26565,0.0408,144.22
0.29,6.0391,150.55,41.586,26565,4.1563,0.027606,26565,0.0408,144.22
0.291,6.0809,150.55,41.73,26565,4.1851,0.027799,26565,0.0408,144.23
0.292,6.1227,150.54,41.874,26565,4.2141,0.027992,26565,0.0408,144.23
0.293,6.1648,150.54,42.019,26565,4.2432,0.028187,26565,0.0408,144.24
0.294,6.2069,150.53,42.163,26565,4.2724,0.028381,26565,0.0408,144.25
0.295,6.2492,150.53,42.307,26565,4.3017,0.028577,26565,0.0408,144.25
0.296,6.2917,150.52,42.451,26565,4.3311,0.028773,26565,0.0408,144.26
0.297,6.3343,150.52,42.596,26565,4.3605,0.02897,26565,0.0408,144.26
0.298,6.377,150.51,42.74,26565,4.3901,0.029167,26565,0.0408,144.27
0.299,6.4199,150.51,42.884,26565,4.4198,0.029366,26565,0.0408,144.27
0.3,6.4629,150.5,43.028,26565,4.4496,0.029565,26565,0.0408,144.28
0.301,6.5061,150.5,43.173,26565,4.4795,0.029764,26565,0.0408,144.28
0.302,6.5494,150.49,43.317,26565,4.5095,0.029964,26565,0.0408,144.29
0.303,6.5929,150.49,43.461,26565,4.5396,0.030165,26565,0.0408,144.3
0.304,6.6365,150.48,43.606,26565,4.5698,0.030367,26565,0.0408,144.3
0.305,6.6802,150.48,43.75,26565,4.6001,0.030569,26565,0.0408,144.31
0.306,6.7241,150.47,43.894,26565,4.6305,0.030772,26565,0.0408,144.31
0.307,6.7682,150.47,44.039,26565,4.661,0.030976,26565,0.0408,144.32
0.308,6.8124,150.46,44.183,26565,4.6916,0.031181,26565,0.0408,144.32
0.309,6.8567,150.46,44.327,26565,4.7223,0.031386,26565,0.0408,144.33
0.31,6.9012,150.45,44.472,26565,4.7531,0.031591,26565,0.0408,144.34
0.311,6.9458,150.45,44.616,26565,4.784,0.031798,26565,0.0408,144.34
0.312,6.9905,150.44,44.76,26565,4.815,0.032005,26565,0.0408,144.35
0.313,7.0354,150.44,44.905,26565,4.8461,0.032213,26565,0.0408,144.35
0.314,7.0805,150.43,45.049,26565,4.8773,0.032421,26565,0.0408,144.36
0.315,7.1257,150.43,45.193,26565,4.9086,0.032631,26565,0.0408,144.36
0.316,7.171,150.42,45.338,26565,4.94,0.03284,26565,0.0408,144.37
0.317,7.2165,150.42,45.482,26565,4.9715,0.033051,26565,0.0408,144.38
0.318,7.2621,150.41,45.626,26565,5.0032,0.033262,26565,0.0408,144.38
0.319,7.3079,150.41,45.771,26565,5.0349,0.033474,26565,0.0408,144.39
0.32,7.3538,150.4,45.915,26565,5.0667,0.033687,26565,0.0408,144.39
0.321,7.3999,150.4,46.06,26565,5.0986,0.0339,26565,0.0408,144.4
0.322,7.4461,150.39,46.204,26565,5.1306,0.034114,26565,0.0408,144.4
0.323,7.4924,150.39,46.348,26565,5.1627,0.034329,26565,0.0408,144.41
0.324,7.5389,150.38,46.493,26565,5.195,0.034544,26565,0.0408,144.41
0.325,7.5856,150.38,46.637,26565,5.2273,0.034761,26565,0.0408,144.42
0.326,7.6323,150.37,46.782,26565,5.2597,0.034977,26565,0.0408,144.43
